,input_compound,target_compound,section,test_mase,train_mase
0,naoh,ACCOA,0,0.17192607705274304,0.0942050969711347
1,naoh,ACO,0,0.7912133981130417,0.22207579542044084
2,naoh,ACP,0,0.139957720351033,0.15523428340670578
3,naoh,AKG,0,0.33172334466350045,0.10051139027413909
4,naoh,BPG,0,1.609115217956644,0.5926076782275594
5,naoh,CIT,0,0.7919918788981795,0.2095232409026429
6,naoh,DAP,0,0.2089258797654566,0.2111851573220663
7,naoh,E4P,0,0.18046941833625474,0.09953783262653278
8,naoh,F6P,0,0.10493064074881626,0.07798207821930946
9,naoh,FDP,0,0.2646040230059658,0.2572497822235434
10,naoh,FUM,0,0.3157421902124711,0.09502341496515261
11,naoh,G6P,0,0.16636195865203893,0.0876180610856462
12,naoh,GAP,0,0.2217290921232708,0.221492820442273
13,naoh,GL6P,0,0.36346694585684164,0.1565043219005885
14,naoh,GLX,0,0.5525674542370638,0.3884349034753891
15,naoh,ICIT,0,1.1441493276349664,0.13253319446167683
16,naoh,KDPG,0,0.23133008173131164,0.1961554582277411
17,naoh,MAL,0,0.30802924669996923,0.09332370919177697
18,naoh,NAD,0,0.41284680032379695,0.10300489597976521
19,naoh,NADH,0,0.4128468003237898,0.10300489597976528
20,naoh,NADP,0,0.40056486268007907,0.10549829576434838
21,naoh,NADPH,0,0.40056486267999364,0.10549829576430829
22,naoh,OAA,0,0.308998649917026,0.09919290152697262
23,naoh,PEP,0,0.1446736005331787,0.07908222310657444
24,naoh,PGA2,0,0.42614217420154066,0.36435107033707675
25,naoh,PGA3,0,0.6645366277696716,0.501641527590132
26,naoh,PGN,0,0.36142322234320884,0.15874066246245697
27,naoh,PYR,0,0.1518709507311228,0.15249776293199
28,naoh,Q,0,0.4000653193593305,0.10355084132601938
29,naoh,QH2,0,0.4000653193587015,0.10355084132603362
30,naoh,R5P,0,0.2990037785672046,0.14911869341179862
31,naoh,RU5P,0,0.29910655526107166,0.1532514841304417
32,naoh,S7P,0,0.24324901642907426,0.12208812860200925
33,naoh,SUC,0,1.0839678068110623,0.4113254524355109
34,naoh,SUCCOA,0,0.6985583169592416,0.21351406125642522
35,naoh,X5P,0,0.2681285117476083,0.1361569650110698
36,naoh,ei,0,0.22849810330582174,0.25453892653157006
37,naoh,eiP,0,0.22849810330790735,0.2545389265326808
38,naoh,eiia,0,0.24098288711188112,0.27439239800111853
39,naoh,eiiaP,0,0.2409828871616956,0.2743923980183975
