input_compound,trace_label,dt,section,mutual_info
NaOH,110.01_0.526,-300,0,0.6586588332631043
NaOH,110.01_0.537,-300,0,0.5762089480842687
NaOH,110.01_0.548,-300,0,0.526783943388899
NaOH,110.01_0.556,-300,0,0.5978077391543173
NaOH,110.01_0.565,-300,0,0.6313638428597388
NaOH,117.02_0.529,-300,0,0.6357476782704503
NaOH,117.02_0.54,-300,0,0.5882202470361562
NaOH,117.02_0.555,-300,0,0.5426332668431786
NaOH,117.02_0.561,-300,0,0.5227837673083933
NaOH,124.03_0.532,-300,0,0.838145546884618
NaOH,124.03_0.558,-300,0,0.5344531058317163
NaOH,124.03_0.566,-300,0,0.48235500394549025
NaOH,124.03_0.578,-300,0,0.18146172313667241
NaOH,125.02_0.535,-300,0,0.7080122245172564
NaOH,125.02_0.549,-300,0,0.3952470548216196
NaOH,125.02_0.563,-300,0,0.43936945005958705
NaOH,125.02_0.569,-300,0,0.42440925637657845
NaOH,130.16_0.565,-300,0,0.31471328317286495
NaOH,132.03_0.541,-300,0,0.8007821585935955
NaOH,132.03_0.566,-300,0,0.5529031553950601
NaOH,132.03_0.586,-300,0,0.1836449680412633
NaOH,133.03_0.538,-300,0,0.7821354116392736
NaOH,133.03_0.566,-300,0,0.5047486110788326
NaOH,133.03_0.585,-300,0,0.13834989733153735
NaOH,138.03_0.544,-300,0,0.5958799130742665
NaOH,138.03_0.547,-300,0,0.5621549460973774
NaOH,138.03_0.57,-300,0,0.367773112734437
NaOH,138.03_0.572,-300,0,0.2792833869204112
NaOH,139.03_0.541,-300,0,0.6858282281236878
NaOH,139.03_0.568,-300,0,0.21740478696313614
NaOH,139.03_0.586,-300,0,0.16496099935522013
NaOH,140.02_0.548,-300,0,0.6862995627570845
NaOH,140.02_0.574,-300,0,0.4441401448912914
NaOH,141.03_0.546,-300,0,0.7105500899825312
NaOH,141.03_0.573,-300,0,0.5035561886346391
NaOH,141.03_0.594,-300,0,0.2073414617463274
NaOH,146.02_0.551,-300,0,0.59790066602209
NaOH,146.02_0.578,-300,0,0.4438568520577717
NaOH,147.03_0.549,-300,0,0.7205881527510214
NaOH,147.03_0.576,-300,0,0.4970049863687387
NaOH,147.03_0.578,-300,0,0.48153455450332583
NaOH,153.03_0.553,-300,0,0.6351849916305712
NaOH,153.03_0.58,-300,0,0.22865543138024602
NaOH,154.04_0.55,-300,0,0.5766959911537857
NaOH,154.04_0.581,-300,0,0.31283610503984116
NaOH,155.03_0.556,-300,0,0.6110554970993567
NaOH,155.03_0.564,-300,0,0.5865226772122116
NaOH,155.03_0.585,-300,0,0.5173548097189866
NaOH,156.04_0.555,-300,0,0.5583174528481543
NaOH,156.04_0.584,-300,0,0.45656522437498914
NaOH,156.04_0.604,-300,0,0.20617656151993025
NaOH,161.03_0.56,-300,0,0.5725242158852297
NaOH,161.03_0.567,-300,0,0.5174055247264167
NaOH,161.03_0.589,-300,0,0.4239059919452153
NaOH,162.04_0.56,-300,0,0.5687677809986891
NaOH,162.04_0.586,-300,0,0.4596612086452394
NaOH,162.04_0.605,-300,0,0.22619119994977321
NaOH,168.04_0.563,-300,0,0.7293478134423483
NaOH,168.04_0.591,-300,0,0.5073202840068256
NaOH,168.04_0.596,-300,0,0.4057378126832214
NaOH,170.03_0.568,-300,0,0.3799532112003381
NaOH,170.03_0.595,-300,0,0.31433937333361595
NaOH,176.03_0.572,-300,0,0.6674967179941276
NaOH,176.03_0.578,-300,0,0.6058345098363391
NaOH,176.03_0.595,-300,0,0.44930117163936023
NaOH,176.03_0.601,-300,0,0.45644046338938127
NaOH,176.03_0.608,-300,0,0.397029741219995
NaOH,176.05_0.557,-300,0,0.6643579730204916
NaOH,176.05_0.593,-300,0,0.4388157489884388
NaOH,176.05_0.605,-300,0,0.4951988707087627
NaOH,177.04_0.562,-300,0,0.6637773732301508
NaOH,177.04_0.568,-300,0,0.5707080829977569
NaOH,177.04_0.596,-300,0,0.4289911601882501
NaOH,177.04_0.615,-300,0,0.3978976453620149
NaOH,183.04_0.573,-300,0,0.6878628279369892
NaOH,183.04_0.606,-300,0,0.2910013718439921
NaOH,184.05_0.566,-300,0,0.8347548182332596
NaOH,184.05_0.58,-300,0,0.4404229732735878
