label,compound,type,u1,u2,clusters
110.01_0.526,DHA,Combined,4.352007,0.62446284,8
110.01_0.526,DHA,Isolation,0.3272733,10.066699,5
110.01_0.526,NaOH,Isolation,2.233594,-3.0882742,2
110.01_0.526,formaldehyde,Combined,2.1652622,-3.36161,2
110.01_0.526,glycolaldehyde,Combined,2.0372655,-3.5423357,2
110.01_0.537,DHA,Combined,4.4736876,1.1269912,8
110.01_0.537,DHA,Isolation,0.32593906,9.842609,5
110.01_0.537,NaOH,Isolation,4.847338,4.384973,3
110.01_0.537,formaldehyde,Combined,2.3533826,-3.2476807,2
110.01_0.537,formaldehyde,Isolation,-1.093616,7.9984164,7
110.01_0.537,glycolaldehyde,Combined,3.3158004,-1.6729407,2
110.01_0.537,glycolaldehyde,Isolation,0.43861696,8.781405,5
110.01_0.548,DHA,Combined,4.517664,1.4387088,8
110.01_0.548,DHA,Isolation,0.26855654,10.131269,5
110.01_0.548,NaOH,Isolation,5.375658,4.889873,3
110.01_0.548,formaldehyde,Combined,5.555832,4.076222,3
110.01_0.548,formaldehyde,Isolation,-1.2673293,8.052877,7
110.01_0.548,glycolaldehyde,Combined,4.856432,4.399432,3
110.01_0.556,DHA,Combined,4.5070286,1.2705207,8
110.01_0.556,DHA,Isolation,0.23334272,10.715637,5
110.01_0.556,NaOH,Isolation,4.835472,4.355399,3
110.01_0.556,formaldehyde,Combined,3.762156,-0.33172563,8
110.01_0.556,glycolaldehyde,Combined,3.3323848,-1.6693037,2
110.01_0.565,DHA,Combined,4.40969,0.84633225,8
110.01_0.565,DHA,Isolation,0.23473656,10.734825,5
110.01_0.565,NaOH,Isolation,1.9537514,-3.343686,2
110.01_0.565,formaldehyde,Combined,2.110968,-3.4714496,2
110.01_0.565,glycolaldehyde,Combined,2.0183125,-3.5245261,2
117.02_0.529,DHA,Combined,2.6345296,-1.6319504,2
117.02_0.529,DHA,Isolation,0.09234183,5.510562,6
117.02_0.529,NaOH,Isolation,3.30338,-0.6501233,2
